TRX_ID,OR_ORG_ID,TRX_SOURCE,TRX_TYPE,TRX_NUM,TRX_AMT,TRL_NUM,TRL_TAX_LINE_NUM,TRL_LINE_ID,TRL_TAX_ID,TRL_TYPE,TRL_AMT,TRL_TAX_CODE,TRLT_TAX_CODE,TRL_ITEM_TAX_CAT,TRL_SF_COUNTRY_CODE,TRL_SF_WHSE,TRL_SDF_COUNTRY_CODE,TRX_SDT_COUNTRY_CODE,TRL_BT_COUNTRY_CODE,TRL_ST_COUNTRY_CODE,TRL_FOB_POINT_CODE,SHIP_VIA,== sbx line info =>>,BATCH_ID,LINE_ID,INVOICE_ID,LINE_TAX_ID,LINE_NUMBER,DELIVERY_TERMS,GROSS_AMOUNT,POINT_OF_TITLE_TRANSFER,PRODUCT_CODE,SF_COUNTRY,TAX_CODE,SBXL_ATTR4,SBXL_ATTR5,SBXL_ATTR41,SBXL_ATTR42,SBXL_ATTR43,SBXL_ATTR45,SBXL_ATTR46,SBXL_ATTR47,SBXL_ATTR48,SBXL_ATTR49,== sbx tax outcome =>>,TAX_DIRECTION,ADDRESS_TYPE,ADMIN_ZONE_LEVEL,AUTHORITY_CURRENCY_CODE,AUTHORITY_NAME,AUTHORITY_TYPE,BASIS_PERCENT,CALCULATION_METHOD,EFFECTIVE_ZONE_LEVEL,NATURE_OF_TAX,EU_TRANSACTION,EXEMPT_CERTIFICATE,EXEMPT_REASON,IS_EXEMPT,IS_INTRASTAT_REPORTED,IS_TRIANGULATION,IS_VAT_REPORTED,IS_VIES_REPORTED,JURISDICTION_TEXT,ERP_TAX_CODE,LINE_COMMENT,LOCATION_CODE,OVERRIDE_RATE,RULE_ORDER,TAXABLE_COUNTRY,TAXABLE_COUNTY,TAXABLE_BASIS,AUTHORITY_AMOUNT,EXEMPT_AMOUNT,TAX_AMOUNT,TAX_RATE_CODE,TAX_TYPE,TAX_RATE,ZONE_LEVEL,ZONE_NAME
2145300,153,NL ORDER IMPORT,NLB INVOICE,631052041,28013.29,7,1,30783406,30785364,LINE,9,SABRIX,631NLAR_EXGS,SYS-HW,US,NetApp US Sunnyvale - SV,NL,US,US,US,DDP,1DAY,== sbx line info =>>,14685181,7,1,1,307834067,,9,DDP,SYS-HW,,SABRIX,,SYS-HW,30783406,631479,,Jabil Circuit Inc. (OEM),72059,,,,== sbx tax outcome =>>,O,SF,Country,USD,Netherlands,VAT,,1,Country,P,Y,,,,,,,,"EUSG6: Nultarief van toepassing art. 9, lid 2, b) Wet OBTabel II, onderdeel a, post 2",NLVAT,ORACLE[NLVAT],,,5000,NL,,9,9,0,0,ZR,ZE,0,Country,NETHERLANDS
2145300,153,NL ORDER IMPORT,NLB INVOICE,631052041,28013.29,8,1,30783407,30785365,LINE,0.02,SABRIX,631NLAR_EXGS,SYS-HW,US,NetApp US Sunnyvale - SV,NL,US,US,US,DDP,1DAY,== sbx line info =>>,14685181,8,1,1,307834078,,0.02,DDP,SYS-HW,,SABRIX,,SYS-HW,30783407,631466,,Jabil Circuit Inc. (OEM),72059,,,,== sbx tax outcome =>>,O,SF,Country,USD,Netherlands,VAT,,1,Country,P,Y,,,,,,,,"EUSG6: Nultarief van toepassing art. 9, lid 2, b) Wet OBTabel II, onderdeel a, post 2",NLVAT,ORACLE[NLVAT],,,5000,NL,,0.02,0.02,0,0,ZR,ZE,0,Country,NETHERLANDS
2145300,153,NL ORDER IMPORT,NLB INVOICE,631052041,28013.29,9,1,30783408,30785366,LINE,21823.2,SABRIX,631NLAR_EXGS,SYS-HW,US,NetApp US Sunnyvale - SV,NL,US,US,US,DDP,1DAY,== sbx line info =>>,14685181,9,1,1,307834089,,21823.2,DDP,SYS-HW,,SABRIX,,SYS-HW,30783408,8177284,,Jabil Circuit Inc. (OEM),72059,,,,== sbx tax outcome =>>,O,SF,Country,USD,Netherlands,VAT,,1,Country,P,Y,,,,,,,,"EUSG6: Nultarief van toepassing art. 9, lid 2, b) Wet OBTabel II, onderdeel a, post 2",NLVAT,ORACLE[NLVAT],,,5000,NL,,21823.2,21823.2,0,0,ZR,ZE,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,1,1,30795276,30796121,LINE,76.11,SABRIX,631NLAR_ECCL,SRV-HW-MAINT,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,1,1,1,307952761,,76.11,DDP,SRV-HW-MAINT,,SABRIX,,SRV-HW-MAINT,30795276,9448539,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,76.11,76.11,0,0,NL,EC,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,2,1,30795277,30796122,LINE,761.11,SABRIX,631NLAR_ECCL,SRV-SW-SUB-ELECTRONIC,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,2,1,1,307952772,,761.11,DDP,SRV-SW-SUB-ELECTRONIC,,SABRIX,,SRV-SW-SUB-ELECTRONIC,30795277,1727338,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,761.11,761.11,0,0,NL,EC,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,3,1,30795278,30796123,LINE,660.6,SABRIX,631NLAR_ECCL,SRV-PS,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,3,1,1,307952783,,660.6,DDP,SRV-PS,,SABRIX,,SRV-PS,30795278,8119415,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,660.6,660.6,0,0,NL,EC,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,4,1,30795281,30796124,LINE,660.6,SABRIX,631NLAR_ECCL,SRV-PS,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,4,1,1,307952814,,660.6,DDP,SRV-PS,,SABRIX,,SRV-PS,30795281,8119415,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,660.6,660.6,0,0,NL,EC,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,5,1,30795282,30796125,LINE,296.17,SABRIX,631NLAR_ECCL,SRV-HW-MAINT,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,5,1,1,307952825,,296.17,DDP,SRV-HW-MAINT,,SABRIX,,SRV-HW-MAINT,30795282,1727359,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,296.17,296.17,0,0,NL,EC,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,6,1,30795283,30796126,LINE,66.06,SABRIX,631NLAR_ECCL,SRV-HW-MAINT,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,6,1,1,307952836,,66.06,DDP,SRV-HW-MAINT,,SABRIX,,SRV-HW-MAINT,30795283,9448549,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,66.06,66.06,0,0,NL,EC,0,Country,NETHERLANDS
2146200,153,NL ORDER IMPORT,NLB INVOICE,631052100,3779.34,7,1,30795284,30796127,LINE,29.62,SABRIX,631NLAR_ECCL,SRV-HW-MAINT,US,NetApp US Sunnyvale - SV,NL,BE,BE,FR,DDP,KN,== sbx line info =>>,14691048,7,1,1,307952847,,29.62,DDP,SRV-HW-MAINT,,SABRIX,,SRV-HW-MAINT,30795284,9448552,,Groupe Revenu Multimedia SAS,188096,,,,== sbx tax outcome =>>,O,SC,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSS28: No VAT liability in Seller&#8217;s Country under Articles 44 of EC Directive 2006/112. Customer to reverse charge in Buyer&#8217;s Country under Article 196.,NLVAT,ORACLE[NLVAT],,,5005,NL,,29.62,29.62,0,0,NL,EC,0,Country,NETHERLANDS
